ISO Date,moon_theta,moon_phi,sun_theta,sun_phi,eclipse
1963-07-20T20:36:13.000,117.567,-0.253193,117.907,0.00181623,1
1964-01-14T20:30:08.000,293.599,-1.45944,294.213,-0.00500091,1
1964-06-10T04:34:07.000,80.5974,-1.91726,79.8197,0.00273716,1
1964-07-09T11:17:53.000,107.675,1.01846,107.753,0.00347148,1
1964-12-04T01:31:54.000,252.966,0.657305,252.43,-0.00542016,1
1965-05-30T21:17:31.000,69.2826,-1.22971,69.7046,0.00244661,1
1965-11-23T04:14:51.000,241.943,-0.0604727,241.144,-0.00519629,1
1966-05-20T09:39:02.000,59.5319,-0.128134,59.3923,0.00284172,1
1966-11-12T14:23:28.000,229.867,-1.25095,230.215,-0.00580548,1
1967-05-09T14:42:48.000,48.0003,0.714454,48.7375,0.00265219,1
1967-11-02T05:38:56.000,220.376,-1.47552,219.56,-0.00392726,1
1968-03-28T23:00:30.000,8.55557,-1.52415,8.76624,-0.000705925,1
1968-09-22T11:18:46.000,180.275,0.281339,179.94,-0.00164181,1
1969-03-18T04:54:57.000,358.24,-1.14303,357.849,-0.00200945,1
1969-09-11T19:58:59.000,169.151,-0.610815,169.31,-0.00164465,1
1970-03-07T17:38:30.000,346.177,0.0861698,347.146,-0.0012597,1
1970-08-31T21:55:30.000,158.491,-1.2067,158.468,-0.00084502,1
1971-02-25T09:38:07.000,336.44,0.264509,336.532,-0.00305331,1
1971-07-22T09:31:55.000,119.853,1.08854,119.327,0.00209948,1
1971-08-20T22:39:31.000,147.688,-1.88155,147.635,-0.00037184,1
1972-01-16T11:03:22.000,295.796,-1.77122,295.802,-0.00534946,1
1972-07-10T19:46:38.000,108.619,-0.190913,108.993,0.00114937,1
1973-01-04T15:46:21.000,283.896,-0.859882,284.532,-0.00511346,1
1973-06-30T11:38:41.000,98.8459,-0.457294,98.8923,0.00261628,1
1973-12-24T15:02:44.000,272.437,-0.333215,273.025,-0.00542075,1
1974-06-20T04:48:04.000,89.4816,-1.51719,88.8451,0.00173064,1
1974-12-13T16:13:13.000,260.923,0.295015,261.614,-0.00520421,1
1975-05-11T07:17:33.000,50.8471,0.347166,50.3305,0.000935481,1
1975-11-03T13:15:54.000,220.804,-1.95891,220.826,-0.0043743,1
