location,moon_phase,time
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6041505986228994,2000-04-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.798457015930265,2000-04-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9974234297389455,2000-04-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2021812668550473,2000-04-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.4134303254925653,2000-05-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6310168301392287,2000-05-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.8523045974942627,2000-05-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0466058990017317,2000-05-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.9298998539987178,2000-05-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6989194449459557,2000-05-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.4609657847352313,2000-05-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.223177113929136,2000-05-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9881313928760038,2000-05-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.757209460177503,2000-05-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.531068444630825,2000-05-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.309874012409044,2000-05-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0935008670261743,2000-05-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.881707738555974,2000-05-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.67430308258065,2000-05-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.4714096714646874,2000-05-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.2745310657957013,2000-05-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.09998280811322055,2000-05-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.14998595911476995,2000-05-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.3313391865954561,2000-05-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5191448172158928,2000-05-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7073377645047926,2000-05-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8956709874231071,2000-05-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0848432099833416,2000-05-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.2759176938432333,2000-05-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.47015793634419,2000-05-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6689214373332804,2000-05-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.8735388227071839,2000-05-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.085152727066068,2000-05-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.3045025357333118,2000-05-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.5316293300525845,2000-05-31 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.7652849551056087,2000-06-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.9983272281770432,2000-06-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0097811523924016,2000-06-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.772537990093964,2000-06-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.5287242428147803,2000-06-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2876271847292844,2000-06-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.0518325484392177,2000-06-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.822538428347863,2000-06-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.60007093703832,2000-06-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3841588868104642,2000-06-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1741686208683777,2000-06-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9692945057699296,2000-06-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7687080496903805,2000-06-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5716848706345636,2000-06-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.3777806417436896,2000-06-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.18771575581691644,2000-06-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.044395418360492524,2000-06-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.20328096041937255,2000-06-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.39052507001509906,2000-06-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5793756492009411,2000-06-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7694836099414318,2000-06-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9615089825733325,2000-06-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1564203368883084,2000-06-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3553676700099853,2000-06-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.559592146026077,2000-06-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7703033276876832,2000-06-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.988510534580441,2000-06-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2148103252196543,2000-06-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.449147294952658,2000-06-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.690580292405773,2000-06-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.936919699357541,2000-07-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0898018104461777,2000-07-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.844637583883951,2000-07-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.598659695431367,2000-07-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.3581180933769814,2000-07-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.124800750795464,2000-07-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.8994388492827694,2000-07-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6819453495344165,2000-07-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.4716519794688137,2000-07-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.2675384106210714,2000-07-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.068423982652257,2000-07-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8731160880114216,2000-07-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.680513787108227,2000-07-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.48966235928411384,2000-07-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.2997602758831931,2000-07-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.1101327823229461,2000-07-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.07981323067747133,2000-07-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.270617313791326,2000-07-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.4628301217746867,2000-07-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.6570460136487669,2000-07-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8539563031125139,2000-07-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0543772554201714,2000-07-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.2592386570699277,2000-07-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.4695207628479103,2000-07-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6861398311602902,2000-07-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9097871985764325,2000-07-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.140728742206266,2000-07-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.3785860583899376,2000-07-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6221479675268258,2000-07-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.8692122737761285,2000-07-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.1100651950735796,2000-07-31 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.916760125205271,2000-08-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.675128291533949,2000-08-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.439781496421978,2000-08-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2122352668943166,2000-08-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9928945879958988,2000-08-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7813921391805319,2000-08-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5768235109053943,2000-08-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3779644987470276,2000-08-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1834548851282645,2000-08-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9919425865395033,2000-08-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8021887094240391,2000-08-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.6131445057310854,2000-08-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.4240532694656997,2000-08-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.2349297279043602,2000-08-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.057516374031112365,2000-08-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.16226504346506487,2000-08-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.35653842299260263,2000-08-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5560093113538619,2000-08-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7592969233950012,2000-08-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9665427155806762,2000-08-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1781614876272537,2000-08-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3946392253464492,2000-08-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6164039828620662,2000-08-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.8436808705260612,2000-08-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.07631785032993,2000-08-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.3135918641423383,2000-08-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.5540004541358683,2000-08-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.7947782332867384,2000-08-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0253294983444534,2000-08-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.988771765745786,2000-08-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.7623685575046,2000-08-31 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.5368129686367484,2000-09-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.317749144589114,2000-09-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.1059075407730736,2000-09-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9009218135270678,2000-09-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7018556759393264,2000-09-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5074527344378503,2000-09-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3163131524562293,2000-09-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1270279030663373,2000-09-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9382848993166172,2000-09-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7489686885509141,2000-09-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5583116696110061,2000-09-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.36636382824302843,2000-09-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.17734311439293746,2000-09-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.08554368455027014,2000-09-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.257415412416386,2000-09-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.46138928706370896,2000-09-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.6720881972988848,2000-09-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8872085271267118,2000-09-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.106124742869903,2000-09-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3285670487077865,2000-09-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5543455253648009,2000-09-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7832011165359136,2000-09-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.0146616561134,2000-09-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2478886784241943,2000-09-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.4814984848208947,2000-09-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.713115856011869,2000-09-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.935942768882377,2000-09-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.047812399122048,2000-09-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.8635674590595106,2000-09-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6516149239134372,2000-09-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.442517275013725,2000-10-01 00:00:00
